cyl_ch1,cyl_ch2,hook_ch1,hook_ch2,tip_ch1,tip_ch2,palm_ch1,palm_ch2,spher_ch1,spher_ch2,lat_ch1,lat_ch2,target
0.072198,0.202185,0.225208,0.304216,0.199706,0.227693,-0.004307,0.202185,0.505726,0.380739,0.021195,0.202185,0
0.276211,0.278708,0.352716,0.049139,0.148703,0.15117,-0.004307,0.125662,0.531228,0.635817,0.021195,0.202185,0
0.429221,0.100154,0.301713,-0.052892,0.327214,0.253201,0.072198,0.049139,0.505726,0.635817,0.021195,0.202185,0
0.327214,0.100154,0.174205,0.125662,0.225208,0.125662,0.225208,0.227693,0.021195,0.329724,0.174205,0.227693,0
0.123201,0.15117,0.199706,-0.027385,0.021195,0.176677,0.174205,0.227693,0.046696,0.023631,0.301713,0.253201,0
0.0977,0.100154,0.174205,0.457263,-0.080812,0.049139,0.148703,0.15117,-0.080812,-0.180431,0.505726,0.176677,0
0.072198,0.100154,0.0977,0.406247,-0.284825,-0.0784,0.199706,-0.052892,0.021195,-0.154923,0.021195,0.202185,0
0.021195,0.15117,0.0977,0.253201,-0.004307,0.100154,0.378218,0.049139,0.021195,0.049139,-0.004307,0.15117,0
-0.004307,0.253201,0.021195,-0.180431,0.25071,0.202185,0.225208,0.125662,0.123201,-0.001877,0.0977,0.074646,0
0.174205,0.227693,0.021195,0.355232,0.123201,0.176677,0.072198,0.15117,0.199706,-0.001877,0.352716,0.125662,0
0.378218,0.125662,0.021195,0.202185,0.378218,0.278708,-0.05531,0.278708,0.276211,0.125662,-0.284825,0.227693,1
0.429221,0.100154,0.199706,-0.052892,0.454723,0.329724,-0.004307,0.176677,0.0977,0.100154,-0.131815,0.278708,0
0.225208,0.15117,0.199706,0.202185,0.327214,0.15117,0.123201,0.176677,0.0977,0.227693,0.327214,0.15117,0
0.046696,0.227693,0.199706,0.023631,0.199706,0.15117,0.301713,0.125662,0.174205,0.176677,0.301713,-0.001877,0
0.0977,0.125662,0.301713,0.457263,0.072198,0.15117,0.174205,0.049139,-0.029808,0.100154,0.199706,-0.052892,0
0.0977,0.074646,0.148703,0.023631,-0.157317,0.074646,0.174205,0.125662,-0.131815,-0.027385,0.174205,0.023631,0
0.046696,0.176677,0.123201,0.100154,-0.004307,0.15117,0.276211,0.125662,0.225208,0.049139,0.021195,0.100154,0
-0.106313,0.125662,0.021195,-0.180431,0.0977,0.15117,0.327214,0.15117,0.378218,0.253201,0.148703,0.15117,0
-0.106313,0.074646,0.021195,0.431755,0.174205,-0.001877,0.225208,0.15117,0.072198,0.227693,0.429221,0.278708,0
0.123201,0.125662,-0.004307,-0.129416,0.225208,0.176677,0.021195,0.176677,0.0977,0.380739,0.0977,0.202185,0
0.174205,0.176677,-0.029808,-0.129416,0.148703,-0.001877,-0.106313,0.15117,0.352716,0.253201,-0.004307,0.100154,0
0.199706,0.227693,0.352716,0.406247,0.225208,0.176677,-0.05531,0.100154,0.480224,0.329724,0.123201,0.227693,0
0.378218,0.202185,0.378218,0.48277,0.174205,0.253201,0.021195,0.125662,0.225208,0.15117,0.480224,0.125662,1
0.429221,0.176677,0.301713,0.125662,0.123201,0.100154,0.148703,0.176677,0.046696,0.023631,0.021195,0.15117,1
0.531228,0.176677,0.225208,-0.129416,0.123201,0.227693,0.276211,0.049139,-0.080812,-0.001877,-0.106313,0.049139,0
0.225208,0.125662,0.0977,0.304216,-0.106313,0.049139,0.225208,0.15117,-0.157317,-0.001877,-0.080812,0.100154,0
0.021195,-0.001877,0.072198,0.253201,0.021195,0.125662,0.225208,0.100154,0.199706,0.380739,0.148703,0.176677,0
-0.182818,0.074646,0.0977,0.125662,0.072198,0.15117,0.327214,0.100154,0.327214,0.380739,0.327214,0.202185,0
-0.080812,0.329724,0.0977,0.202185,0.225208,0.202185,0.352716,0.176677,0.276211,0.227693,0.199706,0.227693,0
0.072198,0.100154,0.072198,0.100154,0.123201,0.253201,0.0977,0.176677,-0.05531,0.176677,-0.131815,0.253201,0
0.148703,0.074646,0.072198,-0.0784,0.276211,0.202185,0.123201,0.202185,0.046696,-0.0784,0.327214,0.125662,1
0.148703,0.227693,0.123201,0.355232,0.378218,0.355232,-0.131815,0.049139,0.225208,0.049139,0.352716,0.049139,0
0.276211,0.253201,0.123201,0.15117,0.531228,0.253201,-0.029808,0.074646,0.276211,-0.001877,0.021195,0.074646,1
0.327214,0.227693,0.199706,0.125662,0.301713,0.15117,-0.080812,0.15117,0.148703,0.100154,0.046696,0.176677,1
0.148703,-0.027385,0.148703,0.253201,-0.131815,-0.001877,-0.259323,0.253201,0.225208,0.329724,-0.004307,0.380739,0
0.0977,0.074646,0.0977,0.304216,-0.106313,0.100154,0.276211,0.227693,-0.080812,0.100154,0.072198,0.049139,0
0.148703,0.329724,0.25071,0.15117,-0.106313,-0.027385,0.505726,0.100154,-0.004307,0.023631,0.199706,0.023631,0
0.199706,-0.0784,0.225208,0.049139,-0.131815,0.074646,0.378218,0.049139,0.25071,-0.180431,0.123201,0.176677,1
-0.080812,0.023631,0.148703,0.15117,0.046696,0.125662,0.301713,0.023631,-0.106313,0.049139,0.225208,0.15117,0
0.072198,0.202185,0.0977,-0.410001,0.123201,0.125662,0.225208,0.125662,0.429221,0.202185,0.276211,0.049139,0
0.072198,0.125662,0.021195,0.227693,0.378218,0.202185,0.123201,0.176677,0.352716,0.253201,0.633234,-0.027385,0
0.021195,0.202185,0.123201,0.380739,0.429221,0.176677,0.046696,0.304216,0.505726,0.253201,0.403719,0.15117,0
0.199706,0.304216,0.403719,0.406247,0.429221,0.278708,-0.004307,0.304216,0.123201,0.15117,-0.029808,0.253201,0
0.225208,0.100154,0.301713,0.253201,0.046696,0.15117,0.021195,0.202185,-0.05531,0.125662,-0.131815,0.15117,0
0.199706,0.100154,0.225208,-0.129416,0.225208,0.253201,0.148703,0.15117,-0.20832,0.15117,-0.233821,0.023631,0
0.148703,0.227693,0.123201,-0.027385,0.021195,0.074646,0.276211,0.125662,-0.157317,0.074646,-0.004307,0.100154,0
0.148703,0.049139,0.021195,0.074646,-0.106313,0.023631,0.378218,0.049139,0.072198,0.15117,0.021195,0.100154,0
0.046696,0.15117,0.046696,0.100154,-0.157317,0.049139,0.25071,0.202185,-0.080812,0.304216,0.0977,0.074646,0
0.021195,0.100154,0.046696,0.48277,0.123201,0.074646,0.123201,0.100154,0.276211,0.125662,0.199706,0.202185,0
